id,en,ru,es
help_colorWheel_2,"Press ""Find Colors"" to find the closest swatches in your collection. Repeat this process until you find a swatch you like.",,
help_paletteScanner_0,"This screen can be used to compare other palettes to your existing collection. For example,% when shopping,% you can take a picture of a palette and compare it to your collection to see if you want to buy it. Or when recreating a look,% you can find a picture of the original palettes and compare dupes in your collection.",,
help_paletteScanner_1,"First,% press the ""Add Image"" button. You can choose a palette from your saved photos or open the camera. If the palette has nonuniform columns or rows,% add it in sections. It is best to take the pictures in bright lighting,% preferably near an open window.",,
help_paletteScanner_2,"Then,% type in the number of columns and rows in the palette.",,
help_paletteScanner_3,"Next,% drag the outer border to fit the palette's edges. Drag the inner borders to fit each pan's edges. It is better to cut off part of the pans than to go too big.",,
help_paletteScanner_4,"Last,% press ""Save"". All the swatches' colors and finishes will be detected. You will be taken to a screen to compare each of the palette's swatches to your current collection. They will be arranged by the palette's rows.",,
help_todayLook_0,"This all the swatches in the current look. You can press on any swatch for information about it. Press the ""More..."" button for more extensive information.",,
help_todayLook_1,The delete icon in the upper right corner clears the look.,,
help_todayLook_2,"The save icon in the upper right corner saves the look. It will prompt you to input a name. You will then be able to find the look on the ""Saved Looks"" screen. It will allow you to revisit,% remember,% and redo old looks.",,
help_todayLook_3,"The edit icon in the upper right corner allows you to add or remove swatches. Press the red ""X"" in the upper right corner of the swatch to remove it from the look. Press the plus button to see your full collection. Tap on any of the swatches to see information on them. Double tap on them to add them to the look. Double tap on them again to remove them from the look.",,
help_savedLook_0,"This a look you had previously saved. You can press on any swatch for information about it. Press the ""More..."" button for more extensive information.",,
help_savedLook_1,The delete icon in the upper right corner permanently deletes the look. This action can not be undone.,,
help_savedLook_2,The add icon in the upper right corner adds all the swatches in this look to Today's Look.,,
help_savedLook_3,"The edit icon in the upper right corner allows you to add or remove swatches. Press the red ""X"" in the upper right corner of the swatch to remove it from the look. Press the plus button to see your full collection. Tap on any of the swatches to see information on them. Double tap on them to add them to the look. Double tap on them again to remove them from the look.",,
help_addPalette_0,"""Palette Divider"" allows you to upload a picture and divide the palette into separate swatches. Then,% it will automatically find the colors and finishes for you. It should be used for most shadows and palettes.",,
help_addPalette_1,"""Custom"" allows you to input your own swatches,% customizing the colors,% finishes,% and any other information you want to add. It is best for adding irregular palettes that would be difficult to divide into columns and rows.",,
help_addPalette_2,"First,% press the ""Add Image"" button. You can choose a palette from your saved photos or open the camera. If the palette has nonuniform columns or rows,% add it in sections. It is best to take the pictures in bright lighting,% preferably near an open window.",,
help_addPalette_3,"Then,% type in the number of columns and rows in the palette.",,
help_addPalette_4,"Next,% drag the outer border to fit the palette's edges. Drag the inner borders to fit each pan's edges. It is better to cut off part of the pans than to go too big.",,
help_addPalette_5,"Last,% press ""Save"". It will prompt you to add a brand and name for the palette. All the swatches' colors and finishes will be detected and they will be added to your collection.",,
help_addPalette_6,"You will be taken to a screen to look over the added swatches. They will be arranged by the palette's rows. You can edit any of their information,% leave ratings,% or add tags if you wish to.",,
paletteScanner_chooseDifferent,Choose a Different Palette,,
paletteScanner_savePalette,Save Palette,,
paletteScanner_popupInstructions,Enter a brand and name for this palette:,,
paletteScanner_brand,Brand,Марка,
paletteScanner_brandError,You must add a brand.,,
paletteScanner_palette,Palette,Палитра,
paletteScanner_paletteError,You must add a palette name.,,
lookScreen_clearWarning,Are you sure you want to clear the look?,,
lookScreen_saveWarning,Would you like to save?,,
todayLook_popupInstructions,Enter a name for this look:,,
todayLook_popupError,You must add a look name.,,
settings_default_language,Language,,
settings_default_notifications,Allow Notifications,,
settings_default_sort,Default Sort,,
settings_default_shade,Auto Shade Naming,,
settings_shade,Auto Shade Name Settings,,
settings_shade_shade,Auto Name Shades,,
settings_default_photo,Photo Upload,,
settings_photo,Photo Upload Settings,,
settings_photo_brightness,Brightness Offset,,
settings_photo_red,Red Offset,,
settings_photo_green,Green Offset,,
settings_photo_blue,Blue Offset,,
settings_photo_before,Before,До,
settings_photo_after,After,После,
settings_default_sensitivity,Color Wheel Screen Sensitivity,,
settings_default_help,Help,,
settings_default_request,Request a Feature,,
settings_default_report,Report a Bug,,
settings_default_about,About,,
settings_default_created,Created by TechneGames,,
settings_default_reset,Reset App,,
settings_default_resetQuestion,"Are you sure you want to reset the entire app,% including settings,% swatches,% and looks? This can not be undone.",,
swatch_color,Color,Цвет,
swatch_finish,Finish,Финиш,
swatch_brand,Brand,Марка,
swatch_palette,Palette,Палитра,
swatch_shade,Shade,,
swatch_rating,Rating,,
swatch_tags,Tags,,
swatch_delete,Delete Swatch,,
swatch_none,None,,
swatch_popupInstructions,Enter new tag:,,
swatch_popupError,You must enter a tag.,,
swatch_popupBtn,Add,,
addPalette_chooseMode,Add swatches using:,,
addPalette_paletteDivider,Palette Divider,,
addPalette_custom,Custom,,
addPalette_popupInstructions,Enter a brand and name for this palette:,,
addPalette_brand,Brand,Марка,
addPalette_brandError,You must add a brand.,,
addPalette_palette,Palette,Палитра,
addPalette_paletteError,You must add a palette name.,,
tutorial_skip,Skip,,
tutorial_screen0_0,"First,% click on the plus button to add your palettes. The screen will have more directions if you press the help icon in the top left corner.",,
tutorial_screen0_1,"Once you have finished,% you can return to the ""All Swatches"" screen and scroll through all the added swatches.",,
tutorial_screen1_0,"Tap on a swatch to get information about it,% such as the color,% finish,% brand,% palette,% and shade name.",,
tutorial_screen1_1,"Click on the ""More..."" button to see more information about it. That screen will also allow you to change any information about,% such as the tags and rating. You can also delete a swatch from there.",,
tutorial_screen2_0,"Double tap on a swatch to add it to ""Today's Look.""",,
tutorial_screen2_1,"Once you add,% you will see the swatch appear in the bottommost bar. You can double tap on the bar to open the full look screen. On this screen,% you can save the look or clear it. You can also edit by adding or removing swatches. That screen will have more directions if you press the help icon in the top left corner.",,
tutorial_screen2_2,You will also see another bar open with recommended swatches from your collection to add to your look. You can interact with them the same way you would any other swatch.,,
tutorial_screen3_0,Click on the menu icon in top left to open the navigation to all the other menus.,,
tutorial_screen3_1,"""All Swatches"" is the screen you have currently been on.",,
tutorial_screen3_2,"""Saved Looks"" has all the looks that you've saved from ""Today's Look."" Tap or double tap on the looks to open them. That screen will have more directions if you press the help icon in the top left corner.",,
tutorial_screen3_3,"""Color Wheel"" allows you to find the nearest swatch to the color you choose on a color wheel. This is helpful if you may be copying a face chart or have a specific color in mind. The screen will have more directions if you press the help icon in the top left corner.",,
tutorial_screen4_0,"""Palette Scanner"" can be used to compare other palettes to your existing collection. For example,% when shopping,% you can take a picture of a palette and compare it to your collection to see if you want to buy it. Or when recreating a look,% you can find a picture of the original palettes and compare dupes in your collection. The screen will have more directions if you press the help icon in the top left corner.",,
tutorial_screen4_1,"""Settings"" has all the settings for the app. You can also find this tutorial again if you press the help button there. If you wish to report any bugs or request a feature,% you can do so there.",,
colorPicker_btn,Find Colors,,
imagePicker_chooseMode,Choose photo from:,,
imagePicker_gallery,Open Gallery,,
imagePicker_galleryError,Gallery permissions are denied. Please open your phone's settings to allow GlamKit to access your gallery.,,
imagePicker_camera,Open Camera,,
imagePicker_cameraError,Camera permissions are denied. Please open your phone's settings to allow GlamKit to access your camera.,,
infoBox_color,Color:,Цвет:,
infoBox_finish,Finish:,Финиш:,
infoBox_brand,Brand:,Марка:,
infoBox_palette,Palette:,Палитра:,
infoBox_shade,Shade:,,
infoBox_more,More...,,
paletteDivider_warning,"If the palette does not have uniform columns and rows,% try to add it in sections.",,
paletteDivider_columns,Palette Columns,,
paletteDivider_rows,Palette Rows,,
paletteDivider_add,Add Image,,
